tableid,name,phonenumber,location,empgroup,function,gender,tenure,tenuregrp,experienceyymm,maritalstatus,ageinyy,hiringsource,promoted,jobrolematch,stayleft
15,sid,9876544345,Enugu,B3,Operation,Male,.02,< =1,11.02,Marr.,39.07,Direct,Promoted,No,Stay
16,sid,9876544345,Lagos,B2,Operation,Female,.02,< =1,5.02,Marr.,26.07,Direct,Promoted,Yes,Stay
17,sid,9876544345,Benin City,B2,Operation,Male,.02,< =1,5.02,Marr.,27.1,Direct,Promoted,No,Left
18,sid,9876544345,Kaduna,B1,Operation,Male,.02,< =1,5.02,Marr.,36.029999,Direct,Promoted,No,Left
19,sid,9876544345,Abuja,B2,Operation,Male,.02,< =1,4.0900002,Single,31.09,Direct,Promoted,No,Left
20,shruti,9876544345,Kano,B2,Operation,Male,.029999999,< =1,5.0999999,Single,27.08,Agency,Promoted,Yes,Stay
21,shruti,9876544345,Ibadan,B1,Operation,Male,.029999999,< =1,4.0300002,Single,27.07,Direct,Promoted,No,Left
22,shruti,9876544345,Kano,B1,Operation,Female,.029999999,< =1,.029999999,Single,21.049999,Direct,Not Promoted,Yes,Stay
23,shruti,9876544345,Ilorin,B1,Operation,Female,.02,< =1,1.1,Single,24.1,Direct,Not Promoted,Yes,Stay
24,shruti,9876544345,Ibadan,B1,Operation,Male,.029999999,< =1,3.03,Single,28.08,Direct,Promoted,Yes,Stay
25,shruti,9876544345,Ibadan,B3,Operation,Male,.02,< =1,11.02,Marr.,39.060001,Direct,Not Promoted,Yes,Stay
26,shruti,9876544345,Ibadan,B1,Operation,Male,.02,< =1,4.04,Single,29.02,Direct,Promoted,No,Left
27,shruti,9876544345,Kano,B2,Operation,Female,.02,< =1,8.04,Single,30.07,Direct,Promoted,No,Stay
28,shruti,9876544345,Kano,B2,Operation,Male,.029999999,< =1,8.0299997,Marr.,35.07,Direct,Promoted,No,Stay
29,shruti,9876544345,Ibadan,B1,Operation,Male,.029999999,< =1,,NTBD,32.080002,Direct,Not Promoted,No,Stay
30,shruti,9876544345,Lagos,B1,Operation,Male,.029999999,< =1,5.0300002,Single,27.030001,Direct,Promoted,No,Left
31,shruti,9876544345,Lagos,B1,Operation,Female,.029999999,< =1,1,Single,23.030001,Direct,Promoted,No,Left
32,shruti,9876544345,Lagos,B1,Operation,Female,.029999999,< =1,3.1099999,Marr.,26.049999,Direct,Promoted,No,Stay
33,shruti,9876544345,Lagos,B2,Operation,Female,.039999999,< =1,6.0999999,Marr.,32.040001,Agency,Not Promoted,No,Stay
34,shruti,9876544345,Ibadan,B1,Operation,Female,.029999999,< =1,4.0300002,Single,28.120001,Direct,Promoted,No,Left
35,shruti,9876544345,Abuja,B2,Operation,Male,.039999999,< =1,7.04,Marr.,32.02,Agency,Not Promoted,No,Stay
36,shruti,9876544345,Abuja,B3,Operation,Male,.029999999,< =1,9.0699997,Marr.,36.040001,Direct,Promoted,No,Left
37,shruti,9876544345,Abuja,B2,Operation,Male,.039999999,< =1,6.0999999,Single,32.040001,Direct,Not Promoted,Yes,Left
38,shruti,9876544345,Kano,B1,Operation,Female,.029999999,< =1,2.04,Single,26.07,Direct,Not Promoted,Yes,Left
39,shruti,9876544345,Ibadan,B2,Operation,Male,.039999999,< =1,9.04,Marr.,38.07,Agency,Promoted,Yes,Stay
40,shruti,9876544345,Ibadan,B1,Operation,Male,.029999999,< =1,2.03,Marr.,30.059999,Agency,Promoted,No,Stay
41,shruti,9876544345,Kano,B3,Operation,Male,.039999999,< =1,15.04,Marr.,43,Direct,Promoted,Yes,Stay
42,shruti,9876544345,Kano,B1,Operation,Male,.039999999,< =1,.039999999,Single,25.059999,Direct,Not Promoted,Yes,Stay
43,shruti,9876544345,Kano,B1,Operation,Male,.039999999,< =1,1.08,Single,26.07,Direct,Promoted,No,Left
44,shruti,9876544345,Lagos,B2,Operation,Male,.039999999,< =1,5.04,Single,27.049999,Direct,Promoted,No,Left
45,shruti,9876544345,Lagos,B1,Operation,Male,.039999999,< =1,3.04,Single,26.030001,Direct,Not Promoted,No,Left
46,shruti,9876544345,Abuja,B2,Operation,Male,.039999999,< =1,10.04,Marr.,37,Employee Referral,Not Promoted,No,Stay
47,shruti,9876544345,Kano,B1,Operation,Female,.039999999,< =1,3.0699999,Marr.,33.099998,Direct,Promoted,No,Stay
48,shruti,9876544345,Abuja,B1,Operation,Male,.039999999,< =1,.1,Single,23.059999,Direct,Not Promoted,No,Left
49,shruti,9876544345,Lagos,B2,Operation,Male,.039999999,< =1,12.05,Single,39.080002,Direct,Not Promoted,No,Left
50,shruti,9876544345,Benin City,B1,Support,Female,.039999999,< =1,2.01,Single,26.02,Direct,Promoted,Yes,Stay
51,shruti,9876544345,Kano,B1,Operation,Female,.039999999,< =1,1.01,Single,24.02,Direct,Not Promoted,Yes,Stay
52,shruti,9876544345,Abuja,B1,Operation,Male,.039999999,< =1,1.0599999,Single,25.040001,Agency,Not Promoted,Yes,Stay
53,shruti,9876544345,Abuja,B1,Operation,Male,.050000001,< =1,1.02,Single,23.08,Agency,Not Promoted,Yes,Stay
54,shruti,9876544345,Kano,B1,Operation,Female,.039999999,< =1,.039999999,Single,22.030001,Direct,Not Promoted,Yes,Stay
55,shruti,9876544345,Abuja,B3,Operation,Male,.050000001,< =1,6.0500002,Marr.,36.07,Direct,Promoted,Yes,Stay
56,shruti,9876544345,Lagos,B1,Operation,Male,.050000001,< =1,2.1099999,Single,25.01,Direct,Not Promoted,Yes,Stay
57,shruti,9876544345,Abuja,B3,Operation,Male,.050000001,< =1,12.05,Marr.,37.07,Agency,Promoted,No,Stay
58,shruti,9876544345,Lagos,B1,Operation,Male,.050000001,< =1,3.05,Single,24.040001,Direct,Not Promoted,No,Left
59,shruti,9876544345,Lagos,B1,Operation,Male,.050000001,< =1,4.0900002,Marr.,30.040001,Direct,Promoted,No,Stay
60,shruti,9876544345,Enugu,B2,Operation,Male,.050000001,< =1,12.05,Marr.,40.07,Direct,Not Promoted,No,Stay
61,shruti,9876544345,Port Harcourt,B1,Operation,Female,.050000001,< =1,4.0599999,Single,27.07,Direct,Promoted,No,Left
62,shruti,9876544345,Kano,B1,Operation,Male,.050000001,< =1,1.03,Single,23.110001,Direct,Promoted,No,Left
63,shruti,9876544345,Port Harcourt,B2,Operation,Female,.059999999,< =1,8.0600004,Marr.,31.02,Direct,Promoted,No,Stay
64,shruti,9876544345,Abuja,B3,Operation,Male,.059999999,< =1,6.0599999,Single,30.030001,Direct,Not Promoted,Yes,Stay
65,shruti,9876544345,Port Harcourt,B1,Operation,Female,.050000001,< =1,3.04,Single,28.059999,Direct,Not Promoted,Yes,Stay
66,shruti,9876544345,Abuja,B1,Operation,Male,.059999999,< =1,1.0700001,Single,24.030001,Direct,Promoted,No,Left
67,shruti,9876544345,Lagos,B3,Operation,Male,.059999999,< =1,17.059999,Marr.,41.040001,Direct,Promoted,No,Stay
68,shruti,9876544345,Kano,B2,Operation,Female,.059999999,< =1,6.0599999,Single,29.049999,Agency,Promoted,Yes,Stay
69,shruti,9876544345,Lagos,B1,Operation,Female,.059999999,< =1,3.0999999,Single,25.040001,Direct,Promoted,Yes,Stay
70,shruti,9876544345,Lagos,B1,Operation,Female,.050000001,< =1,1.05,Single,23.1,Direct,Promoted,Yes,Stay
71,shruti,9876544345,Port Harcourt,B2,Operation,Male,.050000001,< =1,5,Marr.,28.01,Direct,Promoted,No,Left
72,shruti,9876544345,Lagos,B2,Operation,Female,.059999999,< =1,6.0300002,Marr.,28.08,Direct,Not Promoted,Yes,Stay
73,shruti,9876544345,Benin City,B1,Support,Male,.059999999,< =1,2.1099999,Single,27.059999,Direct,Promoted,No,Left
74,shruti,9876544345,Ibadan,B3,Operation,Male,.059999999,< =1,8.0600004,Marr.,33.029999,Agency,Not Promoted,Yes,Stay
75,shruti,9876544345,Kano,B2,Operation,Male,.059999999,< =1,6.0999999,Single,29.1,Agency,Promoted,No,Stay
76,shruti,9876544345,Abuja,B2,Operation,Female,.059999999,< =1,5.1100001,Single,27.02,Agency,Promoted,No,Left
77,shruti,9876544345,Kano,B5,Sales,Male,.059999999,< =1,15.06,Marr.,36.02,Direct,Promoted,No,Stay
78,shruti,9876544345,Port Harcourt,B2,Operation,Male,.059999999,< =1,5.0300002,Single,26.07,Direct,Not Promoted,Yes,Left
79,shruti,9876544345,Kano,B1,Operation,Female,.059999999,< =1,10.06,Marr.,33,Direct,Not Promoted,Yes,Stay
80,shruti,9876544345,Port Harcourt,B1,Operation,Male,.059999999,< =1,6.0700002,Single,28.059999,Direct,Not Promoted,Yes,Stay
81,shruti,9876544345,Port Harcourt,B2,Operation,Male,.059999999,< =1,8.0600004,Marr.,31.049999,Agency,Promoted,No,Stay
82,shruti,9876544345,Port Harcourt,B2,Operation,Female,.059999999,< =1,4.1100001,Single,25.02,Agency,Promoted,No,Left
83,shruti,9876544345,Port Harcourt,B1,Operation,Male,.059999999,< =1,3.0599999,Single,27.059999,Agency,Not Promoted,Yes,Stay
84,shruti,9876544345,Benin City,B1,Operation,Female,.090000004,< =1,.090000004,Single,27.1,Direct,Not Promoted,Yes,Stay
85,shruti,9876544345,Abuja,B3,Sales,Male,.059999999,< =1,12.07,Marr.,35.119999,Direct,Promoted,No,Stay
86,shruti,9876544345,Ibadan,B1,Operation,Female,.07,< =1,,NTBD,24.030001,Direct,Promoted,Yes,Stay
87,shruti,9876544345,Kano,B2,Operation,Male,.059999999,< =1,7.0599999,Marr.,34.07,Direct,Promoted,Yes,Stay
88,shruti,9876544345,Kano,B1,Operation,Male,.07,< =1,2.0699999,Single,27.09,Direct,Not Promoted,Yes,Stay
89,shruti,9876544345,Kano,B3,Operation,Female,.059999999,< =1,13.1,Marr.,36.07,Direct,Not Promoted,Yes,Stay
90,shruti,9876544345,Kano,B1,Operation,Female,.07,< =1,1.09,Single,24.08,Direct,Not Promoted,Yes,Stay
91,shruti,9876544345,Abuja,B2,Operation,Male,.059999999,< =1,8.0100002,Marr.,36.099998,Direct,Promoted,No,Left
92,shruti,9876544345,Lagos,B3,Sales,Male,.07,< =1,.07,Single,26.07,Direct,Not Promoted,No,Left
93,shruti,9876544345,Abuja,B2,Operation,Female,.07,< =1,5.0700002,Marr.,29.1,Agency,Promoted,No,Stay
94,shruti,9876544345,Kano,B3,Operation,Female,.07,< =1,12.07,Marr.,38.09,Agency,Not Promoted,No,Stay
95,shruti,9876544345,Kano,B2,Operation,Female,.07,< =1,10.07,Div.,41,Direct,Promoted,Yes,Stay
96,Dwane,9876544345,Abuja,B2,Operation,Male,.07,< =1,5.0100002,Single,25.09,Direct,Promoted,No,Left
97,Dwane,9876544345,Abuja,B2,Support,Male,.059999999,< =1,9.0699997,Marr.,37.099998,Agency,Promoted,No,Left
98,Dwane,9876544345,Port Harcourt,B1,Operation,Male,.07,< =1,3.0699999,Single,25.07,Agency,Promoted,No,Left
99,Dwane,9876544345,Abuja,B2,Operation,Male,.07,< =1,5.0100002,Single,28.059999,Employee Referral,Not Promoted,Yes,Stay
100,Dwane,9876544345,Kano,B1,Operation,Male,.07,< =1,2.0599999,Single,24.1,Direct,Promoted,No,Left
101,Dwane,9876544345,Lagos,B2,Operation,Male,.07,< =1,7.0700002,Marr.,33.080002,Direct,Promoted,Yes,Stay
102,Dwane,9876544345,Lagos,B1,Operation,Male,.079999998,< =1,3.02,Single,27.07,Direct,Promoted,Yes,Stay
103,Dwane,9876544345,Ibadan,B2,Operation,Male,.079999998,< =1,9.0799999,Marr.,36.060001,Direct,Promoted,No,Stay
104,Dwane,9876544345,Abuja,B3,Operation,Male,.07,< =1,9.1099997,Marr.,35.080002,Direct,Promoted,No,Stay
105,Dwane,9876544345,Kano,B2,Operation,Male,.07,< =1,6.0799999,Single,28.02,Direct,Promoted,No,Left
106,Dwane,9876544345,Abuja,B2,Operation,Male,.079999998,< =1,7.0799999,Single,30.040001,Agency,Promoted,No,Left
107,Dwane,9876544345,Kano,B2,Operation,Male,.07,< =1,4.0999999,Single,29.049999,Direct,Promoted,No,Left
108,Dwane,9876544345,Kano,B1,Operation,Female,.079999998,< =1,4.0100002,Single,27.07,Direct,Not Promoted,No,Left
109,Dwane,9876544345,Kano,B1,Operation,Male,.079999998,< =1,3.0999999,Single,27.059999,Agency,Promoted,No,Left
110,Dwane,9876544345,Lagos,B1,Operation,Female,.07,< =1,.079999998,Single,22.07,Direct,Not Promoted,Yes,Stay
111,Dwane,9876544345,Abuja,B1,Operation,Female,.07,< =1,1.05,Single,25.040001,Direct,Promoted,Yes,Stay
112,Dwane,9876544345,Kano,B1,Operation,Female,.079999998,< =1,2.02,Marr.,25.059999,Direct,Not Promoted,Yes,Stay
113,Dwane,9876544345,Abuja,B1,Operation,Male,.079999998,< =1,4.0799999,Single,27.1,Direct,Promoted,No,Left
114,Dwane,9876544345,Kano,B2,Operation,Male,.079999998,< =1,9.0100002,Single,33.080002,Direct,Promoted,No,Left
115,Dwane,9876544345,Kano,B1,Operation,Male,.079999998,< =1,4.0100002,Single,25.059999,Direct,Promoted,No,Left
116,Dwane,9876544345,Kano,B2,Operation,Male,.079999998,< =1,6.0999999,Marr.,33.02,Agency,Promoted,No,Stay
117,Dwane,9876544345,Lagos,B1,Operation,Female,.079999998,< =1,3.01,Marr.,31.01,Direct,Promoted,Yes,Stay
118,Dwane,9876544345,Port Harcourt,B1,Operation,Female,.079999998,< =1,3.0799999,Single,26.01,Direct,Promoted,No,Left
119,Dwane,9876544345,Port Harcourt,B2,Operation,Male,.079999998,< =1,6.0799999,Single,27.040001,Direct,Promoted,No,Left
120,Dwane,9876544345,Kano,B1,Operation,Male,.079999998,< =1,1.09,Single,24.040001,Employee Referral,Promoted,Yes,Stay
121,Dwane,9876544345,Lagos,B1,Operation,Male,.079999998,< =1,4.0799999,Single,30.07,Direct,Not Promoted,No,Left
122,Dwane,9876544345,Lagos,B3,Operation,Male,.079999998,< =1,15.03,Marr.,50.07,Employee Referral,Promoted,No,Stay
123,Dwane,9876544345,Kano,B1,Operation,Female,.079999998,< =1,5.0500002,Single,29.09,Direct,Promoted,No,Left
124,Dwane,9876544345,Abuja,B3,Operation,Male,.079999998,< =1,9.0900002,Marr.,34.040001,Employee Referral,Promoted,Yes,Stay
125,Dwane,9876544345,Abuja,B5,Operation,Male,.079999998,< =1,25.08,Marr.,40.040001,Agency,Not Promoted,No,Stay
126,Dwane,9876544345,Kano,B1,Operation,Female,.079999998,< =1,4.0999999,Single,28.09,Direct,Promoted,No,Left
127,Dwane,9876544345,Abuja,B2,Operation,Male,.079999998,< =1,11.04,Single,25.040001,Direct,Not Promoted,Yes,Stay
128,Dwane,9876544345,Lagos,B2,Operation,Male,.090000004,< =1,6.0900002,Marr.,30.01,Direct,Promoted,No,Stay
129,Dwane,9876544345,Lagos,B2,Operation,Male,.090000004,< =1,5.0500002,Marr.,29.02,Employee Referral,Promoted,Yes,Stay
130,Dwane,9876544345,Lagos,B2,Operation,Male,.079999998,< =1,10.09,Marr.,36,Direct,Not Promoted,Yes,Stay
131,Dwane,9876544345,Abuja,B1,Operation,Male,.079999998,< =1,3.02,Single,27.030001,Direct,Not Promoted,Yes,Stay
132,Dwane,9876544345,Ibadan,B1,Operation,Male,.079999998,< =1,,NTBD,23.09,Direct,Not Promoted,No,Left
133,Dwane,9876544345,Lagos,B1,Operation,Male,.079999998,< =1,1.08,Marr.,30.059999,Direct,Not Promoted,Yes,Stay
134,Dwane,9876544345,Benin City,B1,Operation,Male,.079999998,< =1,.079999998,Single,24.02,Direct,Not Promoted,No,Left
135,Dwane,9876544345,Benin City,B1,Operation,Female,.079999998,< =1,.090000004,Marr.,30.01,Direct,Not Promoted,No,Stay
136,Dwane,9876544345,Kano,B1,Operation,Female,.090000004,< =1,5.02,Single,28.02,Direct,Not Promoted,No,Left
137,Dwane,9876544345,Ibadan,B1,Operation,Male,.090000004,< =1,5.0100002,Single,28.07,Direct,Not Promoted,No,Left
138,Dwane,9876544345,Abuja,B2,Operation,Male,.090000004,< =1,8.0900002,Marr.,32.09,Direct,Not Promoted,Yes,Stay
139,Dwane,9876544345,Lagos,B3,Operation,Male,.090000004,< =1,12.09,Marr.,35.119999,Direct,Not Promoted,Yes,Stay
140,Dwane,9876544345,Lagos,B2,Operation,Male,.079999998,< =1,10.09,Marr.,37.07,Direct,Not Promoted,No,Stay
141,Dwane,9876544345,Enugu,B2,Operation,Male,.090000004,< =1,10.09,Marr.,33.07,Direct,Not Promoted,No,Left
142,Dwane,9876544345,Kano,B2,Operation,Male,.090000004,< =1,4.0300002,Single,30.110001,Direct,Not Promoted,Yes,Stay
143,Dwane,9876544345,Lagos,B1,Operation,Male,.090000004,< =1,4.0300002,Single,27.07,Direct,Not Promoted,Yes,Stay
144,Dwane,9876544345,Ibadan,B1,Operation,Male,.090000004,< =1,5.0900002,Single,35.060001,Agency,Not Promoted,No,Left
145,Dwane,9876544345,Port Harcourt,B1,Operation,Male,.090000004,< =1,4.0799999,Single,30.09,Agency,Promoted,No,Left
146,Dwane,9876544345,Abuja,B1,Support,Male,.090000004,< =1,1.09,Marr.,28.110001,Direct,Not Promoted,No,Left
147,Dwane,9876544345,Kano,B2,Operation,Male,1.03,> 1 & < =3,2.1099999,Single,30.1,Direct,Not Promoted,No,Left
148,Dwane,9876544345,Lagos,B2,Operation,Female,.090000004,< =1,6.0100002,Marr.,30.08,Direct,Not Promoted,Yes,Stay
149,Dwane,9876544345,Lagos,B2,Operation,Male,.090000004,< =1,9.0200005,Marr.,32.029999,Direct,Not Promoted,No,Stay
150,Dwane,9876544345,Kano,B1,Operation,Male,.090000004,< =1,5.0500002,Single,26.059999,Direct,Promoted,No,Left
151,Dwane,9876544345,Lagos,B2,Operation,Male,.090000004,< =1,8.1099997,Marr.,38.060001,Direct,Not Promoted,Yes,Stay
152,Dwane,9876544345,Abuja,B3,Operation,Male,.090000004,< =1,11.03,Marr.,36.110001,Agency,Promoted,No,Stay
153,Dwane,9876544345,Enugu,B1,Operation,Male,.090000004,< =1,11.03,Marr.,35.040001,Direct,Not Promoted,Yes,Stay
154,Dwane,9876544345,Kano,B1,Operation,Female,.090000004,< =1,3.02,Single,24.09,Direct,Not Promoted,Yes,Stay
155,Dwane,9876544345,Benin City,B1,Operation,Male,.090000004,< =1,3.1099999,Marr.,37.07,Direct,Not Promoted,No,Left
156,Dwane,9876544345,Abuja,B1,Operation,Male,.090000004,< =1,2.0999999,Single,25.110001,Direct,Not Promoted,No,Left
157,Dwane,9876544345,Kano,B1,Operation,Female,.090000004,< =1,2,Single,24.02,Agency,Promoted,Yes,Stay
158,Dwane,9876544345,Lagos,B2,Operation,Male,.1,< =1,11,Marr.,39.110001,Agency,Not Promoted,Yes,Stay
159,Dwane,9876544345,Ibadan,B2,Operation,Female,.090000004,< =1,6.0900002,Marr.,28.049999,Agency,Promoted,No,Stay
160,Dwane,9876544345,Port Harcourt,B1,Operation,Male,.1,< =1,4.04,Marr.,26.120001,Direct,Promoted,Yes,Stay
161,Dwane,9876544345,Port Harcourt,B2,Operation,Female,.1,< =1,8.0100002,Single,35.09,Agency,Not Promoted,Yes,Stay
162,Dwane,9876544345,Abuja,B1,Operation,Male,.1,< =1,4.0999999,Single,27.110001,Direct,Promoted,No,Left
163,Dwane,9876544345,Abuja,B1,Operation,Male,.11,< =1,.11,Single,26.01,Direct,Promoted,No,Left
164,Dwane,9876544345,Lagos,B2,Operation,Male,.090000004,< =1,7,Marr.,31.09,Direct,Promoted,No,Stay
165,Dwane,9876544345,Abuja,B2,Operation,Male,.1,< =1,7.0999999,Marr.,39,Direct,Not Promoted,No,Stay
166,Dwane,9876544345,Kano,B2,Operation,Male,.1,< =1,5.0300002,Marr.,42.02,Agency,Not Promoted,No,Stay
167,Dwane,9876544345,Kano,B1,Operation,Male,.1,< =1,3.0899999,Single,25.07,Agency,Not Promoted,No,Left
168,Dwane,9876544345,Enugu,B0,Support,Female,.1,< =1,.1,Single,23.08,Direct,Not Promoted,Yes,Stay
169,Dwane,9876544345,Kaduna,B1,Operation,Male,.1,< =1,3.0599999,Single,28.049999,Direct,Promoted,Yes,Stay
170,Dwane,9876544345,Lagos,B2,Operation,Male,.1,< =1,6.04,Single,28.049999,Direct,Not Promoted,Yes,Stay
171,Dwane,9876544345,Lagos,B2,Operation,Female,.1,< =1,9.0500002,Single,36.07,Agency,Not Promoted,No,Left
172,Dwane,9876544345,Lagos,B1,Operation,Female,.1,< =1,2.0799999,Single,24.120001,Direct,Promoted,No,Left
173,Dwane,9876544345,Abuja,B2,Operation,Male,.1,< =1,8.1000004,Single,31.01,Agency,Promoted,No,Left
174,Dwane,9876544345,Lagos,B1,Operation,Male,.11,< =1,1.11,Single,24.09,Agency,Promoted,No,Left
175,Dwane,9876544345,Abuja,B1,Operation,Female,.1,< =1,2.01,Single,24.08,Direct,Promoted,Yes,Stay
176,Dwane,9876544345,Port Harcourt,B1,Operation,Male,.1,< =1,4.0999999,Single,27.110001,Direct,Not Promoted,Yes,Stay
177,Dwane,9876544345,Abuja,B2,Operation,Male,.1,< =1,4.02,Marr.,31.040001,Direct,Not Promoted,Yes,Stay
178,Dwane,9876544345,Abuja,B1,Operation,Male,.1,< =1,5.04,Single,29.049999,Direct,Promoted,No,Left
179,Dwane,9876544345,Lagos,B1,Operation,Male,.1,< =1,3.0999999,Marr.,28,Direct,Promoted,No,Stay
180,Dwane,9876544345,Kano,B2,Operation,Male,.1,< =1,7.0900002,Single,31.08,Direct,Promoted,No,Left
181,Dwane,9876544345,Port Harcourt,B2,Operation,Male,.1,< =1,5.0300002,Marr.,33.049999,Direct,Promoted,Yes,Stay
182,Dwane,9876544345,Abuja,B2,Operation,Male,.1,< =1,4.0100002,Single,28.030001,Employee Referral,Not Promoted,Yes,Stay
183,Dwane,9876544345,Abuja,B1,Operation,Male,.11,< =1,2.0699999,Single,24.110001,Agency,Not Promoted,No,Left
184,Dwane,9876544345,Lagos,B2,Operation,Male,.1,< =1,12.08,Marr.,38,Employee Referral,Not Promoted,Yes,Stay
185,Dwane,9876544345,Benin City,B1,Operation,Male,.1,< =1,4,Single,28.110001,Direct,Promoted,Yes,Stay
186,Dwane,9876544345,Lagos,B1,Operation,Male,.11,< =1,2.02,Single,23.059999,Agency,Not Promoted,No,Left
187,Dwane,9876544345,Port Harcourt,B1,Operation,Female,.11,< =1,5.0700002,Marr.,29.059999,Agency,Not Promoted,Yes,Stay
188,Dwane,9876544345,Abuja,B2,Operation,Male,.1,< =1,3,Single,26.049999,Direct,Promoted,No,Left
189,Dwane,9876544345,Kano,B1,Operation,Male,.11,< =1,.11,Single,25.01,Direct,Not Promoted,Yes,Stay
190,Dwane,9876544345,Kano,B1,Operation,Male,1,< =1,1,Single,23.030001,Direct,Not Promoted,Yes,Stay
191,Dwane,9876544345,Abuja,B1,Operation,Female,.11,< =1,6.0900002,Single,29.07,Employee Referral,Not Promoted,Yes,Stay
192,Dwane,9876544345,Abuja,B4,Sales,Male,.11,< =1,11.11,Marr.,38.040001,Direct,Promoted,Yes,Stay
193,Dwane,9876544345,Ibadan,B1,Operation,Female,.11,< =1,3.1099999,Single,26.059999,Employee Referral,Not Promoted,Yes,Stay
194,Dwane,9876544345,Lagos,B1,Operation,Male,.11,< =1,5.1100001,Single,34.080002,Agency,Not Promoted,No,Left
195,Dwane,9876544345,Lagos,B1,Operation,Male,.11,< =1,1.11,Single,28.040001,Direct,Not Promoted,Yes,Stay
196,Dwane,9876544345,Kano,B2,Operation,Male,.11,< =1,7.0100002,Marr.,34.029999,Agency,Not Promoted,No,Stay
197,Dwane,9876544345,Port Harcourt,B1,Operation,Female,.11,< =1,3,Single,25.08,Direct,Not Promoted,Yes,Stay
198,Dwane,9876544345,Abuja,B1,Support,Female,.1,< =1,3.0599999,Marr.,27.07,Direct,Not Promoted,No,Left
199,Dwane,9876544345,Abuja,B3,Operation,Male,.11,< =1,19.08,Marr.,35.099998,Employee Referral,Promoted,Yes,Stay
200,Dwane,9876544345,Port Harcourt,B3,Operation,Male,.11,< =1,11.08,Marr.,34,Direct,Not Promoted,Yes,Stay
201,Dwane,9876544345,Abuja,B2,Support,Female,.11,< =1,7.04,Marr.,30.02,Direct,Not Promoted,Yes,Stay
202,Dwane,9876544345,Kano,B1,Operation,Male,.11,< =1,3.1099999,Single,27.01,Direct,Promoted,Yes,Stay
203,Dwane,9876544345,Kano,B1,Operation,Male,.11,< =1,4.1100001,Single,28,Direct,Promoted,No,Left
204,Dwane,9876544345,Kano,B2,Operation,Male,.11,< =1,10.11,Marr.,36.099998,Agency,Promoted,No,Stay
205,Dwane,9876544345,Lagos,B1,Operation,Male,.11,< =1,3.05,Single,26.040001,Direct,Not Promoted,Yes,Stay
206,Dwane,9876544345,Lagos,B2,Operation,Male,.11,< =1,6.0799999,Single,28.07,Direct,Not Promoted,Yes,Stay
207,Dwane,9876544345,Lagos,B2,Operation,Male,.11,< =1,5.04,Marr.,30.059999,Direct,Not Promoted,No,Stay
208,Dwane,9876544345,Ibadan,B1,Operation,Male,1,< =1,1,NTBD,24.040001,Direct,Not Promoted,Yes,Stay
209,Dwane,9876544345,Kano,B1,Operation,Male,.11,< =1,5,Single,27.07,Direct,Not Promoted,No,Left
210,Dwane,9876544345,Kano,B5,Operation,Female,2.0599999,> 1 & < =3,2.0599999,Single,29.1,Direct,Not Promoted,Yes,Stay
211,Dwane,9876544345,Ibadan,B2,Operation,Male,2.0799999,> 1 & < =3,2.0799999,NTBD,28.059999,Direct,Promoted,No,Left
212,Dwane,9876544345,Kano,B1,Operation,Female,.11,< =1,3.0699999,Single,26.09,Direct,Not Promoted,No,Left
213,Dwane,9876544345,Kano,B1,Operation,Female,.11,< =1,4.0500002,Single,27.040001,Direct,Not Promoted,Yes,Stay
214,Dwane,9876544345,Kano,B1,Operation,Female,.11,< =1,4.0799999,Marr.,29.040001,Direct,Not Promoted,Yes,Stay
